rank,name,score
0,Lawtonfogle,801.89
1,flyinRyan,747.97
2,darkarmani,731.29
3,lawnchair_larry,700.59
4,happyscrappy,656.17
5,guard-of-terra,601.8
6,mschuster91,527.24
7,AnthonyMouse,507.01
8,Daniel_Newby,415.71
9,xenophanes,354.36
10,speeder,311.04
11,Karunamon,290.73
12,DanBC,247.11
13,nknighthb,195.15
14,prodigal_erik,142.7
15,frozenport,113.0
16,talmand,103.19
17,nwh,101.25
18,lotsofmangos,68.66
19,pekk,50.12
20,makomk,30.19
21,downandout,26.74
22,anthonyb,-7.99
23,Dylan16807,-74.04
24,Pxtl,-114.35
25,jack-r-abbit,-152.47
26,vacri,-186.44
27,smsm42,-189.95
28,Crito,-194.56
29,derleth,-213.2
30,mooism2,-241.31
31,drzaiusapelord,-246.82
32,briandear,-268.2
33,Semiapies,-286.72
34,sneak,-310.63
35,diminoten,-319.11
36,GFK_of_xmaspast,-319.15
37,guelo,-324.64
38,hnriot,-334.39
39,blasdel,-356.72
40,jlgreco,-369.51
41,PhasmaFelis,-381.53
42,gambiting,-384.94
43,njharman,-387.52
44,berntb,-391.96
45,lucian1900,-395.16
46,davidgerard,-406.64
47,mhurron,-415.36
48,Houshalter,-419.13
49,tomjen3,-419.29
50,theorique,-426.89
51,papsosouid,-440.79
52,mynameishere,-444.75
53,iwwr,-463.45
54,chris_wot,-467.41
55,gcb0,-489.06
56,illuminate,-489.11
57,kalleboo,-510.6
58,MaysonL,-512.99
59,nodata,-524.35
60,TheLoneWolfling,-524.57
61,batista,-534.9
62,antihero,-541.76
63,brador,-552.09
64,alan_cx,-566.25
65,Natsu,-576.47
66,pyre,-578.34
67,cabalamat,-579.71
68,FireBeyond,-587.8
69,yuhong,-602.06
70,ceejayoz,-602.84
71,minimaxir,-606.49
72,jsprogrammer,-607.27
73,fnordfnordfnord,-611.38
74,digi_owl,-613.7
75,jfb,-622.46
76,foobarqux,-633.54
77,pjc50,-640.91
78,brazzy,-647.65
79,tedunangst,-648.72
80,rmc,-652.14
81,epochwolf,-653.77
82,logfromblammo,-654.08
83,lutorm,-654.84
84,belorn,-668.25
85,mikecane,-676.62
86,coldcode,-677.35
